,combo_name,price,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrates,Dietary Fiber,Sugars,Includes,Protein,Vitamin D,Calcium,Iron,Potassium,Gluten,Milk,Wheat,Soy,Eggs,Fish,Shellfish,Tree Nuts,Peanuts,MSG,Sesame
0,Steak Grilled Cheese Burrito Combo,9.19,870.0,48.0,18.5,0.0,105.0,1820.0,75.0,7.0,6.0,2.0,36.0,0.0,620.0,4.4,580.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Mexican Pizza Combo,9.89,910.0,51.0,18.0,0.0,90.0,1620.0,79.0,14.0,8.0,1.0,35.0,0.0,480.0,5.1000000000000005,840.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Chicken Quesadilla Combo,8.79,690.0,36.0,16.5,0.0,100.0,1560.0,54.0,6.0,4.0,2.0,34.0,0.0,570.0,3.5,430.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Nachos BellGrande® Combo,9.49,920.0,49.0,10.5,0.0,50.0,1450.0,96.0,18.0,6.0,1.0,25.0,0.0,280.0,3.6,1170.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2 Chicken Chalupas Supreme Combo,11.19,170.0,10.0,3.5,0.0,25.0,300.0,13.0,3.0,1.0,0.0,8.0,0.0,70.0,0.9,140.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Crunchwrap Supreme® Combo,8.99,710.0,31.0,10.5,0.0,45.0,1510.0,86.0,9.0,7.0,2.0,24.0,0.0,320.0,5.5,670.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,3 Crunchy Tacos Combo,7.79,510.0,30.0,10.5,0.0,75.0,900.0,39.0,9.0,3.0,0.0,24.0,0.0,210.0,2.7,420.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,3 Crunchy Tacos Supreme® Combo,9.39,570.0,33.0,13.5,0.0,75.0,960.0,45.0,9.0,6.0,0.0,24.0,0.0,240.0,2.7,600.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,3 Doritos® Locos Tacos Combo,8.79,510.0,30.0,12.0,0.0,75.0,1080.0,36.0,9.0,3.0,0.0,24.0,0.0,240.0,2.7,450.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9,3 Doritos® Locos Tacos Supreme Combo,9.99,570.0,33.0,15.0,0.0,90.0,1140.0,42.0,9.0,6.0,0.0,24.0,0.0,270.0,2.7,630.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10,3 Soft Tacos Combo,7.79,540.0,24.0,12.0,0.0,75.0,1500.0,54.0,9.0,3.0,3.0,27.0,0.0,330.0,5.1,390.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3 Soft Tacos Supreme® Combo,9.39,630.0,30.0,15.0,0.0,75.0,1530.0,60.0,9.0,6.0,3.0,30.0,0.0,390.0,5.1,600.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Burrito Supreme® Combo,9.09,580.0,25.0,10.5,0.0,50.0,1460.0,66.0,11.0,6.0,2.0,24.0,0.0,300.0,4.9,620.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Classic Combo,5.6,830.0,34.0,11.0,0.0,55.0,1675.0,105.0,12.0,16.0,12.0,27.0,0.0,350.0,5.7,620.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
