,item_name,price,menu_section,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Protein (g),Vitamin D (mcg),Calcium (mg),Iron (mg),Potassium (mg),Total Sugars (g)
0,Double Stacked Taco,1.99,Tacos,320.0,16.0,5.0,0.0,25.0,600.0,34.0,4.0,11.0,0.0,130.0,1.9,300.0,3.0
1,Soft Taco,1.89,Tacos,180.0,8.0,4.0,0.0,25.0,490.0,18.0,3.0,9.0,0.0,100.0,1.7,130.0,2.0
2,Soft Taco Supreme®,2.99,Tacos,210.0,10.0,5.0,0.0,30.0,510.0,20.0,3.0,9.0,0.0,120.0,1.7,200.0,3.0
3,Spicy Potato Soft Taco,1.29,Tacos,240.0,12.0,3.0,0.0,10.0,470.0,28.0,2.0,5.0,0.0,100.0,1.3,270.0,2.0
4,Crunchy Taco,1.89,Tacos,170.0,10.0,4.0,0.0,25.0,300.0,13.0,3.0,8.0,0.0,60.0,0.9,140.0,1.0
5,Crunchy Taco Supreme®,2.99,Tacos,190.0,11.0,5.0,0.0,30.0,320.0,15.0,3.0,8.0,0.0,80.0,0.9,200.0,2.0
6,Nacho Cheese Doritos® Locos Tacos,2.99,Tacos,170.0,10.0,4.0,0.0,25.0,360.0,12.0,3.0,8.0,0.0,70.0,0.9,150.0,1.0
7,Nacho Cheese Doritos® Locos Tacos Supreme®,3.89,Tacos,190.0,11.0,5.0,0.0,30.0,380.0,14.0,3.0,8.0,0.0,90.0,0.9,210.0,2.0
8,Chalupa Supreme®,6.09,Tacos,360.0,20.0,6.0,0.0,25.0,570.0,31.0,4.0,12.0,0.0,120.0,2.3,230.0,5.0
9,Black Bean Chalupa Supreme®,5.19,Tacos,340.0,18.0,4.0,0.0,10.0,460.0,36.0,6.0,10.0,0.0,140.0,2.5,300.0,5.0
10,Cheesy Gordita Crunch,5.99,Tacos,490.0,28.0,11.0,0.0,55.0,840.0,41.0,5.0,20.0,0.0,300.0,2.6,250.0,6.0
11,Doritos® Cheesy Gordita Crunch - Nacho Cheese,6.19,Tacos,500.0,28.0,11.0,0.0,55.0,890.0,41.0,5.0,20.0,0.0,310.0,2.6,250.0,6.0
