,item_name,price,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrates,Dietary Fiber,Sugars,Added Sugars,Protein,Vitamin D,Calcium,Iron,Potassium,Gluten,Milk,Wheat,Soy,Eggs,Fish,Shellfish,Tree Nuts,Peanuts,MSG,Sesame
0,Soft Taco,1.79,180.0,8.0,4.0,0.0,25.0,500.0,18.0,3.0,1.0,1.0,9.0,0.0,110.0,1.7,130.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Soft Taco Supreme®,2.69,210.0,10.0,5.0,0.0,25.0,510.0,20.0,3.0,2.0,1.0,10.0,0.0,130.0,1.7,200.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Spicy Potato Soft Taco,1.0,240.0,12.0,3.0,0.0,10.0,480.0,28.0,2.0,1.0,1.0,5.0,0.0,110.0,1.3,270.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Crunchy Taco,1.79,170.0,10.0,3.5,0.0,25.0,300.0,13.0,3.0,1.0,0.0,8.0,0.0,70.0,0.9,140.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Crunchy Taco Supreme®,2.69,190.0,11.0,4.5,0.0,25.0,320.0,15.0,3.0,2.0,0.0,8.0,0.0,80.0,0.9,200.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Nacho Cheese Doritos® Locos Tacos,2.49,170.0,10.0,4.0,0.0,25.0,360.0,12.0,3.0,1.0,0.0,8.0,0.0,80.0,0.9,150.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6,Nacho Cheese Doritos® Locos Tacos Supreme®,3.19,190.0,11.0,5.0,0.0,30.0,380.0,14.0,3.0,2.0,0.0,8.0,0.0,90.0,0.9,210.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7,Chalupa Supreme®,4.39,360.0,20.0,6.0,0.0,25.0,570.0,31.0,4.0,4.0,1.0,12.0,0.0,120.0,2.3,230.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Black Bean Chalupa Supreme®,4.39,340.0,18.0,4.0,0.0,10.0,460.0,36.0,6.0,4.0,1.0,10.0,0.0,140.0,2.5,300.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Cheesy Gordita Crunch,4.79,490.0,28.0,10.0,0.0,50.0,840.0,41.0,5.0,5.0,1.0,20.0,0.0,310.0,2.6,250.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Doritos® Cheesy Gordita Crunch - Nacho Cheese,5.19,500.0,28.0,11.0,0.0,50.0,900.0,41.0,5.0,5.0,1.0,20.0,0.0,320.0,2.6,250.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
11,Cheesy Jalapeno Mexican Pizza,5.19,570.0,31.0,9.0,0.0,40.0,1260.0,51.0,9.0,4.0,1.0,20.0,0.0,340.0,3.3,560.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Cheesy Jalapeno Mexican Pizza - Veie,5.19,500.0,27.0,7.0,0.0,25.0,1010.0,49.0,7.0,4.0,1.0,15.0,0.0,330.0,2.6,470.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Strawberry Twists,1.0,160.0,6.0,0.0,0.0,0.0,280.0,26.0,1.0,11.0,0.0,1.0,0.0,10.0,0.2,30.0,,,,,,,,,,,
15,Wild Strawberry Freeze,3.69,190.0,0.0,0.0,0.0,0.0,55.0,51.0,0.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
17,Chipotle Ranch Grilled Chicken Burrito,2.0,510.0,29.0,7.0,0.0,45.0,950.0,47.0,4.0,3.0,2.0,17.0,0.0,200.0,2.9,350.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
