,combo_name,price,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrates,Dietary Fiber,Sugars,Includes,Protein,Vitamin D,Calcium,Iron,Potassium,Gluten,Milk,Wheat,Soy,Eggs,Fish,Shellfish,Tree Nuts,Peanuts,MSG,Sesame
0,Steak Grilled Cheese Burrito Combo,$9.19,870,48,18.5,0,105,1820,75,7,6,2,36,0,620,4.4,580,1,2,1,1,1,0,0,0,0,0,0
1,Mexican Pizza Combo,$9.89,910,51,18.0,0,90,1620,79,14,8,1,35,0,480,5.1000000000000005,840,1,3,1,3,0,0,0,0,0,0,0
2,Chicken Quesadilla Combo,$8.79,690,36,16.5,0,100,1560,54,6,4,2,34,0,570,3.5,430,1,2,1,1,1,0,0,0,0,0,0
3,Nachos BellGrande® Combo,$9.49,920,49,10.5,0,50,1450,96,18,6,1,25,0,280,3.6,1170,1,2,0,2,0,0,0,0,0,0,0
4,2 Chicken Chalupas Supreme Combo,$11.19,170,10,3.5,0,25,300,13,3,1,0,8,0,70,0.9,140,0,1,0,1,0,0,0,0,0,0,0
5,Crunchwrap Supreme® Combo,$8.99,710,31,10.5,0,45,1510,86,9,7,2,24,0,320,5.5,670,1,2,1,2,0,0,0,0,0,0,0
6,3 Crunchy Tacos Combo,$7.79,510,30,10.5,0,75,900,39,9,3,0,24,0,210,2.7,420,0,3,0,3,0,0,0,0,0,0,0
7,3 Crunchy Tacos Supreme® Combo,$9.39,570,33,13.5,0,75,960,45,9,6,0,24,0,240,2.7,600,0,3,0,3,0,0,0,0,0,0,0
8,3 Doritos® Locos Tacos Combo,$8.79,510,30,12.0,0,75,1080,36,9,3,0,24,0,240,2.7,450,0,3,0,3,0,0,0,0,0,3,0
9,3 Doritos® Locos Tacos Supreme Combo,$9.99,570,33,15.0,0,90,1140,42,9,6,0,24,0,270,2.7,630,0,3,0,3,0,0,0,0,0,3,0
10,3 Soft Tacos Combo,$7.79,540,24,12.0,0,75,1500,54,9,3,3,27,0,330,5.1,390,3,3,3,3,0,0,0,0,0,0,0
11,3 Soft Tacos Supreme® Combo,$9.39,630,30,15.0,0,75,1530,60,9,6,3,30,0,390,5.1,600,3,3,3,3,0,0,0,0,0,0,0
12,Burrito Supreme® Combo,$9.09,580,25,10.5,0,50,1460,66,11,6,2,24,0,300,4.9,620,1,2,1,2,0,0,0,0,0,0,0
13,Classic Combo,$5.60,830,34,11.0,0,55,1675,105,12,16,12,27,0,350,5.7,620,2,2,2,2,0,0,0,0,0,0,0
