,item_name,price,menu_section,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrates,Dietary Fiber,Sugars,Includes,Protein,Vitamin D,Calcium,Iron,Potassium,Gluten,Milk,Wheat,Soy,Eggs,Fish,Shellfish,Tree Nuts,Peanuts,MSG,Sesame
0,Soft Taco,$1.89,Tacos,180,8g,4g,0g,25mg,500mg,18g,3g,1g,<1g,9g,0mcg,110mg,1.7mg,130mg,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Soft Taco Supreme®,$2.89,Tacos,210,10g,5g,0g,25mg,510mg,20g,3g,2g,<1g,10g,0mcg,130mg,1.7mg,200mg,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Spicy Potato Soft Taco,$1.10,Tacos,240,12g,3g,0g,10mg,480mg,28g,2g,1g,<1g,5g,0mcg,110mg,1.3mg,270mg,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Crunchy Taco,$1.89,Tacos,170,10g,3.5g,0g,25mg,300mg,13g,3g,<1g,0g,8g,0mcg,70mg,0.9mg,140mg,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Crunchy Taco Supreme®,$2.89,Tacos,190,11g,4.5g,0g,25mg,320mg,15g,3g,2g,0g,8g,0mcg,80mg,0.9mg,200mg,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Nacho Cheese Doritos® Locos Tacos,$2.69,Tacos,170,10g,4g,0g,25mg,360mg,12g,3g,<1g,0g,8g,0mcg,80mg,0.9mg,150mg,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6,Nacho Cheese Doritos® Locos Tacos Supreme®,$3.69,Tacos,190,11g,5g,0g,30mg,380mg,14g,3g,2g,0g,8g,0mcg,90mg,0.9mg,210mg,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7,Chalupa Supreme®,$4.69,Tacos,360,20g,6g,0g,25mg,570mg,31g,4g,4g,<1g,12g,0mcg,120mg,2.3mg,230mg,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Black Bean Chalupa Supreme®,$4.19,Tacos,340,18g,4g,0g,10mg,460mg,36g,6g,4g,<1g,10g,0mcg,140mg,2.5mg,300mg,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Cheesy Gordita Crunch,$4.79,Tacos,490,28g,10g,0g,50mg,840mg,41g,5g,5g,1g,20g,0mcg,310mg,2.6mg,250mg,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
